EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI02067	AJP51E3L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.5609000000000001	33826222	76049	0.0459599152363539	4820536628	9035522	0.09190658392018192	19.4155493216347	0.779397747017108
EHI01979	AJP48E1L1I1	Calotriton asper	Gipuzkoa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.138437	-1.914365	0.6465000000000001	35072524	2613	0.032040226252800896	5127758218	429188	0.05645434942273786	19.4263469554378	0.822427263555611
EHI02079	AJP52E3L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.6412	29539566	13501	0.05790932145129257	4293038259	1541555	0.0869006874705287	18.9456945997429	0.825685381830267
EHI02603	AJP54E1L1I1	Calotriton asper	Gipuzkoa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.138437	-1.914365	0.6790999999999999	34551394	12216	0.023240068349516974	5087246543	2208379	0.04081522890201683	19.0251342271237	0.843732213932702
EHI01970	AJP49E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.6347999999999999	34814914	1782	0.020672180320759015	5075407128	235551	0.04816307970850808	18.7019435877522	0.87485966803066
EHI01995	AJP38E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.6526000000000001	25157476	5611	0.03904122445459168	3681776071	1014484	0.062171445624355726	19.4861383491863	0.733076109482271
EHI02587	AJP67E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.6705	33568198	6100	0.02169163347273062	4945532779	1053113	0.03891447814399496	18.8279607822736	0.847131087634043
EHI02625	AJP65E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.7587999999999999	17267788	131	0.02372400155500487	2536111266	23503	0.044090069596043224	16.5256699754079	0.912422756001798
EHI02585	AJP43E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.6283	37782156	5358	0.03069748034721731	5540520017	693419	0.05226651695072604	19.2094822967682	0.84377865528928
EHI02632	AJP45E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.6191	29564630	4580	0.06105329256986436	4349736893	748839	0.07888260312335305	18.2689891811541	0.855455710912672
EHI02105	AJP51E2L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	42.999753	-1.166745	0.5518	17050888	59754	0.09855109548093632	2393798263	6671326	0.15394409122646002	18.8381432698339	0.828942292707386
EHI02633	AJP44E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.7139	46457838	5159	0.023715938635736955	6858973267	903128	0.03895829341471013	18.9826048591074	0.891081930220451
EHI02697	AKD86E1L1I1	Calotriton asper	Nafarroa	Skin swab: dorsal	Urodela	Male	recIUTmSxiyqoU5lQ	43.032943	-1.180331	0.07490000000000001	40495940	429040	0.03722375774672748	5841541468	84818306	0.06068634807132545	20.0174793118593	0.634677968673545
EHI01982	AJP57E1L1I1	Calotriton asper	Gipuzkoa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.138437	-1.914365	0.5735	23339256	19529	0.03616654614923043	3397017215	3106822	0.06390809427037669	18.8844957512736	0.769472556192756
EHI02592	AJP64E1L1I1	Calotriton asper	Nafarroa	Faecal	Urodela	Male	recIUTmSxiyqoU5lQ	43.157629	-1.907171	0.6949	34126274	4071	0.025121530312089413	5029567969	807086	0.041988520716786715	18.8258041409093	0.883362737021947
