##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA03360_bin.2/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA03360_bin.2/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA03360_bin.2/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA03360_bin.2/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA03360_bin.2/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA03360_bin.2/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA03360_bin.2/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA03360_bin.2/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA03360_bin.2/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA03360_bin.2/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA03360_bin.2/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA03360_bin.2/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA03360_bin.2/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA03360_bin.2/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA03360_bin.2/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA03360_bin.2/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA03360_bin.2/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA03360_bin.2/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA03360_bin.2/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA03360_bin.2/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA03360_bin.2/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA03360_bin.2/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA03360_bin.2/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA03360_bin.2/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA03360_bin.2/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA03360_bin.2/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA03360_bin.2/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA03360_bin.2/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA03360_bin.2/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA03360_bin.2/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA03360_bin.2/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA03360_bin.2/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA03360_bin.2/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA03360_bin.2/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA03360_bin.2/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA03360_bin.2/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA03360_bin.2/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA03360_bin.2/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA03360_bin.2/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA03360_bin.2/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA03360_bin.2/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.98638779	0.99316949	0.99486393	0.99313450	0.99429178	0.99319112	0.99805158	0.99771786	0.99928743	0.99499375	0.99931729	0.94642860	1.00000000	NaN	0.99657202	0.99914455	0.99876595	1.00000000	NaN	NaN	0.99892449	NaN	0.99950236	0.99916047	0.99388307	0.99864477	0.99441737	0.99916977	0.98705822	0.99446601	NaN	0.99535662	0.99979627	0.99947774	0.99146295	0.99056602	NaN	0.99461263	0.99888241	0.99936879	NaN
2	0.99316949	0.99395394	0.99764585	0.99868202	0.99665576	0.99641377	0.99422622	0.99841303	0.99566001	0.99489200	0.99384081	1.00000000	0.99360597	NaN	0.99966252	0.99444366	0.99343985	1.00000000	NaN	NaN	0.99357140	NaN	0.99293005	0.99672729	0.99858880	0.99594963	0.99830496	0.99410558	0.99447221	0.99913627	NaN	0.99875993	0.99519283	0.99472654	0.99603856	0.99342108	1.00000000	0.99719250	0.99381483	0.99413311	NaN
3	0.99486393	0.99764585	0.99606651	0.99793327	0.99756074	0.99718612	0.99665666	0.99920791	0.99623644	0.99587607	0.99601382	NaN	0.99860597	NaN	0.99889261	0.99655759	0.99640960	1.00000000	NaN	NaN	0.99583852	NaN	0.99467969	0.99745166	0.99692667	0.99735451	0.99825466	0.99600089	0.99705476	0.99760574	NaN	0.99770218	0.99611294	0.99668479	0.99772155	1.00000000	1.00000000	0.99811751	0.99645758	0.99511260	NaN
4	0.99313450	0.99868202	0.99793327	0.99179786	0.99782163	0.99625593	0.99449605	0.99894494	0.99650836	0.99559391	0.99483204	1.00000000	0.99418473	NaN	0.99945784	0.99526334	0.99390990	1.00000000	NaN	NaN	0.99352252	NaN	0.99266636	0.99734300	0.99804896	0.99645019	0.99818301	0.99409288	0.99247944	0.99850559	NaN	0.99823904	0.99584353	0.99409986	0.99424756	0.99342108	NaN	0.99812996	0.99595934	0.99460340	NaN
5	0.99429178	0.99665576	0.99756074	0.99782163	0.99424249	0.99678940	0.99410766	0.99670559	0.99513477	0.99854475	0.99527425	1.00000000	0.99351954	NaN	0.99653047	0.99531627	0.99350101	1.00000000	NaN	NaN	0.99282330	NaN	0.99407673	0.99767852	0.99631417	0.99487227	0.99590236	0.99435133	0.99503362	0.99695301	NaN	0.99762040	0.99600965	0.99508578	0.99643880	0.99342108	1.00000000	0.99669212	0.99494457	0.99502832	NaN
6	0.99319112	0.99641377	0.99718612	0.99625593	0.99678940	0.99583995	0.99528748	0.99641341	0.99545312	0.99670124	0.99540550	1.00000000	0.99339151	NaN	0.99816740	0.99558175	0.99579364	NaN	NaN	NaN	0.99444205	NaN	0.99402988	0.99753624	0.99655455	0.99681896	0.99746180	0.99528646	0.99664092	0.99749470	NaN	0.99771929	0.99535275	0.99615687	0.99744731	1.00000000	NaN	0.99533594	0.99603438	0.99497128	NaN
7	0.99805158	0.99422622	0.99665666	0.99449605	0.99410766	0.99528748	0.98630875	0.99726987	0.99811828	0.99461186	0.99878508	0.94642860	0.99888873	NaN	0.99565488	0.99846077	0.99931628	1.00000000	NaN	NaN	0.99962676	NaN	0.99866891	0.99941128	0.99407238	0.99926037	0.99516308	0.99862921	0.98713726	0.99496037	NaN	0.99502718	0.99883258	0.99907237	0.99033123	1.00000000	NaN	0.99726695	0.99979264	0.99859309	NaN
8	0.99771786	0.99841303	0.99920791	0.99894494	0.99670559	0.99641341	0.99726987	0.99376476	0.99943978	0.99627614	0.99830139	NaN	0.99527311	NaN	0.99908757	0.99838287	0.99637920	NaN	NaN	NaN	0.99650079	NaN	0.99746352	0.99912661	0.99922436	0.99746561	0.99782032	0.99841142	0.99458778	0.99838448	NaN	0.99952894	0.99850148	0.99785733	0.99834251	NaN	NaN	0.99924827	0.99665391	0.99804854	NaN
9	0.99928743	0.99566001	0.99623644	0.99650836	0.99513477	0.99545312	0.99811828	0.99943978	0.98954767	0.99545896	0.99907821	NaN	0.99973506	NaN	0.99880952	0.99924606	0.99861532	1.00000000	NaN	NaN	0.99825096	NaN	0.99930006	0.99792469	0.99694872	0.99838972	0.99637067	0.99912345	0.99026793	0.99722385	NaN	0.99683368	0.99963582	0.99930876	0.99403465	NaN	NaN	0.99687165	0.99831653	0.99941760	NaN
10	0.99499375	0.99489200	0.99587607	0.99559391	0.99854475	0.99670124	0.99461186	0.99627614	0.99545896	0.98991221	0.99568307	1.00000000	0.99469900	NaN	0.99540228	0.99545807	0.99397171	1.00000000	NaN	NaN	0.99262124	NaN	0.99526191	0.99596196	0.99393058	0.99595791	0.99299520	0.99498212	0.99170560	0.99528176	NaN	0.99748814	0.99500650	0.99600589	0.99286836	NaN	1.00000000	0.99504340	0.99263972	0.99534118	NaN
