##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04492_bin.49/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04492_bin.49/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04492_bin.49/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04492_bin.49/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04492_bin.49/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04492_bin.49/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04492_bin.49/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04492_bin.49/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04492_bin.49/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04492_bin.49/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04492_bin.49/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04492_bin.49/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04492_bin.49/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04492_bin.49/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04492_bin.49/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04492_bin.49/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04492_bin.49/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04492_bin.49/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04492_bin.49/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04492_bin.49/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04492_bin.49/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04492_bin.49/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04492_bin.49/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04492_bin.49/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04492_bin.49/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04492_bin.49/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04492_bin.49/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04492_bin.49/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04492_bin.49/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04492_bin.49/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04492_bin.49/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04492_bin.49/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04492_bin.49/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04492_bin.49/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04492_bin.49/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04492_bin.49/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04492_bin.49/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04492_bin.49/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04492_bin.49/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04492_bin.49/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04492_bin.49/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99065965	0.99803340	0.99777210	0.99902678	1.00000000	0.99794179	1.00000000	1.00000000	1.00000000	0.99638861	0.99765533	1.00000000	0.99800664	NaN	1.00000000	0.99969494	0.99907148	0.99960846	NaN	NaN	1.00000000	NaN	1.00000000	1.00000000	0.99726611	1.00000000	0.99962533	0.99907947	0.99818593	0.99936450	NaN	1.00000000	1.00000000	0.99943662	0.99855840	1.00000000	1.00000000	0.99858356	0.99884391	0.99745870	NaN
2	0.99803340	0.99934411	0.99931371	0.99917763	0.99826950	0.99896497	0.99903613	0.99394673	0.99809617	0.99908620	0.98991191	1.00000000	0.99861562	NaN	1.00000000	0.99836713	0.99767262	0.99880385	NaN	NaN	0.99827141	NaN	0.99821472	0.99833053	0.99998373	0.99961698	0.99908561	0.99928129	0.99902529	0.99993968	NaN	0.99904174	0.99836957	0.99866933	0.99924046	1.00000000	1.00000000	0.99938852	0.99821377	0.99454743	NaN
3	0.99777210	0.99931371	0.99905533	0.99951965	0.99888176	0.99930382	0.99949086	0.99852073	0.99856800	0.99937487	0.99405491	1.00000000	1.00000000	NaN	1.00000000	0.99900693	0.99729973	0.99805069	NaN	NaN	0.99820304	NaN	0.99793279	0.99838972	0.99900609	0.99913496	0.99909115	0.99870533	0.99901909	0.99909478	NaN	0.99912941	0.99874294	0.99765623	0.99969500	1.00000000	1.00000000	0.99806696	0.99870044	0.99889749	NaN
4	0.99902678	0.99917763	0.99951965	0.99889082	0.99922538	0.99885923	1.00000000	1.00000000	0.99812150	0.99904585	0.99909544	1.00000000	0.99946094	NaN	0.99929076	0.99969697	1.00000000	0.99939322	NaN	NaN	0.99842024	NaN	0.99920160	1.00000000	0.99893242	0.99939501	0.99931419	1.00000000	0.99896228	0.99865192	NaN	0.99933058	0.99908549	0.99923897	0.99830300	1.00000000	1.00000000	0.99940819	0.99921417	0.99893844	NaN
5	1.00000000	0.99826950	0.99888176	0.99922538	0.99730021	0.99779207	1.00000000	1.00000000	0.99912894	0.99895382	0.99741769	1.00000000	1.00000000	NaN	1.00000000	0.99829155	1.00000000	0.99723756	NaN	NaN	1.00000000	NaN	0.99820250	1.00000000	0.99952173	0.99772382	0.99942964	0.99834895	0.99821079	0.99954587	NaN	0.99967837	0.99962980	1.00000000	0.99842519	1.00000000	1.00000000	0.99767983	0.99884790	0.99871302	NaN
6	0.99794179	0.99896497	0.99930382	0.99885923	0.99779207	0.99950051	0.99909961	0.99186045	0.99832356	0.99952847	0.98818123	1.00000000	0.99796748	NaN	0.99761623	0.99614668	0.99607158	0.99591321	NaN	NaN	0.99894094	NaN	0.99732047	0.99663073	0.99878305	0.99961299	0.99848956	0.99666613	0.99864596	0.99875045	NaN	0.99884635	0.99520385	0.99666417	0.99899024	1.00000000	0.99741822	0.99883115	0.99388820	0.99797297	NaN
7	1.00000000	0.99903613	0.99949086	1.00000000	1.00000000	0.99909961	0.99230552	1.00000000	1.00000000	0.99727094	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	NaN	NaN	1.00000000	NaN	1.00000000	1.00000000	0.99767351	1.00000000	1.00000000	1.00000000	0.99923074	0.99876541	NaN	1.00000000	1.00000000	0.99912590	1.00000000	1.00000000	1.00000000	0.99655175	1.00000000	0.99906629	NaN
8	1.00000000	0.99394673	0.99852073	1.00000000	1.00000000	0.99186045	1.00000000	0.98412699	0.99804688	0.99206346	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	NaN	NaN	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	0.99879950	1.00000000	1.00000000	1.00000000	NaN	1.00000000	0.99843991	1.00000000	0.99367088	1.00000000	1.00000000	1.00000000	0.99847561	0.99658704	NaN
9	1.00000000	0.99809617	0.99856800	0.99812150	0.99912894	0.99832356	1.00000000	0.99804688	0.98969924	0.99796748	0.99668598	1.00000000	0.99853802	NaN	1.00000000	1.00000000	1.00000000	1.00000000	NaN	NaN	1.00000000	NaN	0.99954563	1.00000000	0.99696577	1.00000000	1.00000000	0.99868596	0.99740595	0.99911070	NaN	0.99885583	1.00000000	0.99897331	0.99740261	1.00000000	1.00000000	0.99578649	0.99887705	1.00000000	NaN
10	0.99638861	0.99908620	0.99937487	0.99904585	0.99895382	0.99952847	0.99727094	0.99206346	0.99796748	0.99955791	0.98844582	1.00000000	0.99598145	NaN	1.00000000	0.99599999	0.99467516	0.99302995	NaN	NaN	0.99809343	NaN	0.99612582	0.99435824	0.99910903	0.99948561	0.99968237	0.99475449	0.99946141	0.99900520	NaN	0.99924344	0.99434090	1.00000000	0.99927402	1.00000000	0.99751449	0.99899781	0.99260712	0.99551904	NaN
