##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04492_bin.49/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04492_bin.49/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04492_bin.49/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04492_bin.49/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04492_bin.49/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04492_bin.49/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04492_bin.49/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04492_bin.49/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04492_bin.49/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04492_bin.49/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04492_bin.49/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04492_bin.49/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04492_bin.49/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04492_bin.49/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04492_bin.49/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04492_bin.49/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04492_bin.49/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04492_bin.49/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04492_bin.49/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04492_bin.49/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04492_bin.49/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04492_bin.49/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04492_bin.49/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04492_bin.49/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04492_bin.49/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04492_bin.49/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04492_bin.49/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04492_bin.49/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04492_bin.49/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04492_bin.49/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04492_bin.49/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04492_bin.49/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04492_bin.49/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04492_bin.49/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04492_bin.49/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04492_bin.49/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04492_bin.49/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04492_bin.49/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04492_bin.49/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04492_bin.49/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04492_bin.49/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99065965	0.99573910	0.99554425	0.99659365	0.99802762	0.99059099	0.99897647	0.99813086	0.99850893	0.99205488	0.99589682	1.00000000	0.99667776	NaN	1.00000000	0.99786454	0.99535745	0.99843383	NaN	NaN	0.99905837	NaN	0.99906397	0.99445325	0.99665856	0.99941522	0.99850130	0.99754524	0.99682540	0.99809343	NaN	0.99718577	0.99806452	0.99830985	0.99663621	1.00000000	1.00000000	0.99433428	0.99768788	0.99491739	NaN
2	0.99573910	0.99934411	0.99915648	0.99892843	0.99711585	0.99891728	0.99710846	0.98789346	0.99524039	0.99898982	0.98735434	0.99713469	0.99676973	NaN	0.99693251	0.99533474	0.99379367	0.99481660	NaN	NaN	0.99697495	NaN	0.99515432	0.99332219	0.99992669	0.99693602	0.99900055	0.99664593	0.99899411	0.99983108	NaN	0.99890482	0.99456519	0.99667335	0.99895787	0.99416059	0.99806201	0.99923569	0.99612981	0.99236643	NaN
3	0.99554425	0.99915648	0.99905533	0.99927944	0.99776351	0.99920982	0.99643582	0.99556214	0.99713606	0.99919623	0.99241495	0.99056602	0.99826992	NaN	0.99634594	0.99503475	0.99279928	0.99376220	NaN	NaN	0.99640614	NaN	0.99509043	0.99355876	0.99891365	0.99653977	0.99895287	0.99533921	0.99894184	0.99885339	NaN	0.99909937	0.99748588	0.99687499	0.99952066	1.00000000	0.98712444	0.99800748	0.99675113	0.99779493	NaN
4	0.99659365	0.99892843	0.99927944	0.99889082	0.99767619	0.99875641	0.99547768	0.99659866	0.99499059	0.99891210	0.99638170	0.98853868	0.99514824	NaN	0.99645388	0.99545455	0.99268889	0.99575245	NaN	NaN	0.99526066	NaN	0.99680638	0.99073118	0.99882358	0.99879009	0.99908930	0.99579978	0.99889427	0.99838948	NaN	0.99909031	0.99588478	0.99467278	0.99784017	0.99854016	0.99130434	0.99906999	0.99607074	0.99256903	NaN
5	0.99802762	0.99711585	0.99776351	0.99767619	0.99730021	0.99675304	0.99844116	0.99878198	0.99912894	0.99799478	0.99741769	0.99413490	0.99817687	NaN	0.99721062	0.99544418	0.99778271	0.99539596	NaN	NaN	1.00000000	NaN	0.99700421	0.99874842	0.99840587	0.99620640	0.99866921	0.99724823	0.99707222	0.99727523	NaN	0.99967837	0.99925953	1.00000000	0.99716538	1.00000000	0.99312717	0.99690640	0.99769586	0.99871302	NaN
6	0.99059099	0.99891728	0.99920982	0.99875641	0.99675304	0.99950051	0.99339736	0.98488373	0.98868400	0.99938977	0.98342091	0.98787880	0.99212396	NaN	0.99463648	0.99229336	0.98777825	0.98931152	NaN	NaN	0.99364573	NaN	0.99249732	0.98450136	0.99872082	0.99613005	0.99841797	0.99149859	0.99862981	0.99868679	NaN	0.99877864	0.98987478	0.99221647	0.99876785	0.99270076	0.99569708	0.99866778	0.98867518	0.98851353	NaN
7	0.99897647	0.99710846	0.99643582	0.99547768	0.99844116	0.99339736	0.99230552	1.00000000	1.00000000	0.99259257	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	0.99847561	NaN	NaN	1.00000000	NaN	0.99864680	1.00000000	0.99612254	0.99934638	0.99942559	0.99968237	0.99538463	0.99711937	NaN	0.99778515	1.00000000	0.99912590	0.99925649	1.00000000	1.00000000	0.99310344	1.00000000	0.99719888	NaN
8	0.99813086	0.98789346	0.99556214	0.99659866	0.99878198	0.98488373	1.00000000	0.98412699	0.99804688	0.98412699	1.00000000	1.00000000	1.00000000	NaN	1.00000000	0.99850744	1.00000000	1.00000000	NaN	NaN	1.00000000	NaN	1.00000000	1.00000000	0.99715507	0.99702382	0.99639857	1.00000000	1.00000000	0.99869621	NaN	0.99839485	0.99843991	1.00000000	0.99113923	1.00000000	1.00000000	0.99587631	0.99847561	0.99317408	NaN
9	0.99850893	0.99524039	0.99713606	0.99499059	0.99912894	0.98868400	1.00000000	0.99804688	0.98969924	0.99085367	0.99668598	1.00000000	0.99853802	NaN	1.00000000	0.99824792	0.99788362	0.99707091	NaN	NaN	1.00000000	NaN	0.99772829	0.99727768	0.99566537	0.99853694	0.99943912	0.99780989	0.99416345	0.99688751	NaN	0.99885583	1.00000000	0.99897331	0.99610388	1.00000000	1.00000000	0.99578649	0.99887705	1.00000000	NaN
10	0.99205488	0.99898982	0.99919623	0.99891210	0.99799478	0.99938977	0.99259257	0.98412699	0.99085367	0.99955791	0.98537832	0.99140400	0.99196291	NaN	0.99592787	0.99216002	0.98722047	0.98933989	NaN	NaN	0.99459803	NaN	0.99316317	0.98519039	0.99894679	0.99691355	0.99952453	0.99076796	0.99931842	0.99879295	NaN	0.99907392	0.98901463	0.99502712	0.99899262	0.99270076	0.99502897	0.99883449	0.98891062	0.99029124	NaN
