EHI_number,sample_code,ENA accession,reads_pre_fastp,reads_post_fastp,bases_pre_fastp,bases_post_fastp,adapter_trimmed_reads,adapter_trimmed_bases,host_reads,metagenomic_bases,host_bases,reads_lost_fastp_percent,bases_lost_fastp_percent,bases_lost_fastp_percent_flat,adapter_percent,host_percent,host_percent_reads,singlem_fraction,average_genome_size,Indexed library molarity,Adaptor/library ratio,Index (from Sequence alias),latitude,longitude,Initial DNA for library (from IN Code) (from EHI_number),region,sample_type,bacterial_archaeal_bases,kappa,C,LR,modelR,LRstar,diversity,host_duplicate_fraction,Submit_PR,nonpareil_estimated_coverage,number_bins,sex,order,class,country,Capture ID,capture_id_flat,analysis
EHI01966,AJP46,ERR13998539,31917700,30501676,4787655000,4430758491,5056251,159561811,26068,4425727812,5030679,4%,7%,0.075,3%,0%,0.10%,52.92,4147477,12.62,0.08,14,43.14,-1.91,118.3,Gipuzkoa,Faecal,2181457797,0.8427,0.8552,2212838701,0.9994,11111374245,17.7582,0.02,,19.92%,379,Male,Urodela,Amphibia,Spain,SD0385301,SD0385301,
EHI01967,AJP47,ERR13998666,38143520,37181194,5721528000,5452265990,4626631,129095102,4919,5451556572,709418,3%,5%,0.047,2%,0%,0.00%,73.71,3168844,30.21,0.04,15,43.16,-1.91,54.5,Nafarroa,Faecal,3834375599,0.8686,0.8792,2725761810,0.9997,6654306130,18.6064,0.03,,40.96%,484,Male,Urodela,Amphibia,Spain,SD0384001,SD0384001,
EHI01968,AJP58,ERR13998538,48279926,47074216,7241988900,6895223059,6015145,172962132,894,6895055875,167184,2%,5%,0.048,2%,0%,0.00%,71.47,3804736,70.59,0.04,16,43.16,-1.91,200,Nafarroa,Faecal,4795629134,0.8979,0.9062,3447510595,0.9995,4787931551,18.8708,0.01,,72.00%,491,Male,Urodela,Amphibia,Spain,SD0384501,SD0384501,
EHI01970,AJP49,ERR13998527,35549806,34814914,5332470900,5075642679,5151276,154962191,1782,5075407128,235551,2%,5%,0.048,3%,0%,0.00%,68.65,3425745,95.43,0.04,20,43.03,-1.18,200,Nafarroa,Faecal,3221847300,0.8639,0.8749,2537684304,0.9997,6950141338,18.7019,0.02,,36.51%,429,Male,Urodela,Amphibia,Spain,SD0385001,SD0385001,
EHI01979,AJP48,ERR13998665,36233452,35072524,5435017800,5128187406,4788965,138327631,2613,5127758218,429188,3%,6%,0.056,3%,0%,0.00%,68.31,3373745,36.1,0.05,31,43.14,-1.91,200,Gipuzkoa,Faecal,3314940066,0.8075,0.8224,2563844629,0.9997,11014447900,19.4263,0.02,,23.28%,406,Male,Urodela,Amphibia,Spain,SD0385601,SD0385601,
EHI01982,AJP57,ERR13998526,24215030,23339256,3632254500,3400124037,3602457,104662721,19529,3397017215,3106822,4%,6%,0.064,3%,0%,0.10%,61.11,3908519,5.15,0.1,37,43.14,-1.91,74.9,Gipuzkoa,Faecal,1948178894,0.7508,0.7695,1698493356,0.9953,32210020716,18.8845,0.09,,5.27%,376,Male,Urodela,Amphibia,Spain,SD0385501,SD0385501,
EHI01985,AJP55,ERR13998667,38650534,37342594,5797580100,5462568015,4951925,146137745,2412,5462273038,294977,3%,6%,0.058,3%,0%,0.00%,70.59,3367017,36.68,0.05,43,43,-1.17,200,Nafarroa,Faecal,3720687535,0.7993,0.8148,2731109845,0.9995,13483708124,19.3041,0.03,,20.26%,476,Male,Urodela,Amphibia,Spain,SD0383401,SD0383401,
EHI01989,AJP56,ERR13998534,33172994,31868458,4975949100,4651019924,4601215,134420002,3058,4650449132,570792,4%,7%,0.065,3%,0%,0.00%,71.6,3557226,16.02,0.09,48,43.14,-1.91,147.4,Gipuzkoa,Faecal,3148323139,0.7983,0.8139,2325190145,0.9996,12303305578,19.0583,0.07,,18.90%,396,Male,Urodela,Amphibia,Spain,SD0385401,SD0385401,
EHI01992,AJP69,ERR13998525,29710474,28972822,4456571100,4245356248,3774235,104788215,3724,4244705388,650860,2%,5%,0.047,2%,0%,0.00%,64.39,3274149,13.89,0.04,53,43,-1.17,63.1,Nafarroa,Faecal,2550508140,0.7737,0.7909,2122335098,0.9993,16526465680,19.3641,0.03,,12.84%,472,Male,Urodela,Amphibia,Spain,SD0383601,SD0383601,
EHI01995,AJP38,ERR13998528,26179558,25157476,3926933700,3682790555,3289133,95394951,5611,3681776071,1014484,4%,6%,0.062,2%,0%,0.00%,71.01,2952345,27.72,0.05,58,43,-1.17,152.9,Nafarroa,Faecal,2402792706,0.712,0.7331,1840860998,0.9999,25615461594,19.4861,0.02,,7.19%,477,Male,Urodela,Amphibia,Spain,SD0383501,SD0383501,
EHI02065,AJP52,ERR13998529,31746490,30501922,4761973500,4473780127,3957360,115096182,1687,4473531340,248787,4%,6%,0.061,2%,0%,0.00%,71.68,3055447,3.8,0.32,18,43.16,-1.91,168.5,Nafarroa,Faecal,2988007683,0.8409,0.8535,2236743746,0.9998,8928231502,18.7843,0.03,,25.05%,374,Male,Urodela,Amphibia,Spain,SD0384401,SD0384401,
EHI02067,AJP51,,35455766,33826222,5318364900,4829572150,7828686,279974866,76049,4820536628,9035522,5%,9%,0.092,5%,0%,0.20%,60.3,2889211,8.1,0.27,20,43,-1.17,200,Nafarroa,Faecal,2704041263,0.7614,0.7794,2410204071,0.9996,21032781106,19.4155,0.06,,11.46%,357,Male,Urodela,Amphibia,Spain,SD0382901,SD0382901,
EHI02079,AJP52,,31355332,29539566,4703299800,4294579814,5169154,179151770,13501,4293038259,1541555,6%,9%,0.087,4%,0%,0.00%,68.62,3057964,3.31,0.45,32,43.16,-1.91,200,Nafarroa,Faecal,2752649162,0.811,0.8257,2146492876,0.9998,11828283425,18.9457,0.05,,18.15%,374,Male,Urodela,Amphibia,Spain,SD0384401,SD0384401,
EHI02088,AJP51,,47520992,45197514,7128148800,6590124826,7251367,239272709,15121,6587615976,2508850,5%,8%,0.075,3%,0%,0.00%,69.84,2884433,3.52,0.54,41,43,-1.17,113,Nafarroa,Faecal,4314392213,0.8731,0.8834,3293772505,0.9998,9032827336,19.0185,0.14,,36.46%,357,Male,Urodela,Amphibia,Spain,SD0382901,SD0382901,
EHI02097,AJP52,,42892338,36524426,6433850700,5325245645,5947802,169128792,9567,5324134598,1111047,15%,17%,0.172,3%,0%,0.00%,69.81,3040056,6.36,0.06,50,43.16,-1.91,74.6,Nafarroa,Faecal,3464548776,0.8796,0.8893,2662007293,0.9998,6989435700,18.7593,0.1,,38.09%,374,Male,Urodela,Amphibia,Spain,SD0384401,SD0384401,
EHI02105,AJP51,ERR13998523,18914980,17050888,2837247000,2400469589,4986507,196729916,59754,2393798263,6671326,10%,15%,0.154,7%,0%,0.40%,60.15,2893459,1.96,0.53,58,43,-1.17,24.5,Nafarroa,Faecal,1320904047,0.8145,0.8289,1196828306,0.9991,6069487585,18.8381,0.24,,19.72%,357,Male,Urodela,Amphibia,Spain,SD0382901,SD0382901,
EHI02582,AJP50,ERR13998530,26184048,25621482,3927607200,3771062512,2776218,73549950,277,3771020851,41661,2%,4%,0.04,2%,0%,0.00%,74.73,4041871,13.44,0.07,12,43.14,-1.91,116.2,Gipuzkoa,Faecal,2703519171,0.9245,0.9307,1885499301,0.9996,1814252097,18.0392,0.02,,103.93%,164,Male,Urodela,Amphibia,Spain,SD0385901,SD0385901,
EHI02584,AJP53,ERR13998663,36629754,35758798,5494463100,5281323751,3230484,83736069,1328,5281080602,243149,2%,4%,0.039,2%,0%,0.00%,75,3222267,8.85,0.05,14,43.03,-1.18,105.8,Nafarroa,Faecal,3917344073,0.8773,0.8872,2640532106,0.9998,6826349608,18.4313,0.03,,38.68%,204,Male,Urodela,Amphibia,Spain,SD0384601,SD0384601,
EHI02585,AJP43,ERR13998664,38978704,37782156,5846805600,5541213436,4817289,128890402,5358,5540520017,693419,3%,5%,0.052,2%,0%,0.00%,68.02,3075764,13.45,0.08,15,43,-1.17,200,Nafarroa,Faecal,3480972351,0.8304,0.8438,2770260376,0.9995,11487492327,19.2095,0.18,,24.12%,277,Male,Urodela,Amphibia,Spain,SD0383101,SD0383101,
EHI02587,AJP67,ERR13998657,34312492,33568198,5146873800,4946585892,3390615,91761371,6100,4945532779,1053113,2%,4%,0.039,2%,0%,0.00%,71.8,3443210,7.59,0.06,17,43,-1.17,50.4,Nafarroa,Faecal,3315989988,0.834,0.8471,2472752209,0.9998,11658795696,18.828,0.05,,21.21%,256,Male,Urodela,Amphibia,Spain,SD0383201,SD0383201,
EHI02592,AJP64,ERR13998537,35005670,34126274,5250850500,5030375055,3393609,90316296,4071,5029567969,807086,3%,4%,0.042,2%,0%,0.00%,70.77,3430623,3.67,0.04,22,43.16,-1.91,65.3,Nafarroa,Faecal,3495287568,0.8731,0.8834,2514773521,0.9996,5397905015,18.8258,0.05,,46.59%,273,Male,Urodela,Amphibia,Spain,SD0383701,SD0383701,
EHI02598,AJP42,ERR13998659,35520536,34807096,5328080400,5135817006,3362828,83728147,528,5135731572,85434,2%,4%,0.036,2%,0%,0.00%,73.04,3172357,15.91,0.04,28,43,-1.17,122.9,Nafarroa,Faecal,3470816889,0.8473,0.8595,2567862956,0.9994,8080315252,19.2017,0.04,,31.78%,275,Male,Urodela,Amphibia,Spain,SD0383001,SD0383001,
EHI02602,AJP41,ERR13998532,28222502,27656528,4233375300,4053491180,3557541,95227091,1007,4053342960,148220,2%,4%,0.042,2%,0%,0.00%,60.37,3132533,18.84,0.1,32,43.03,-1.18,183.8,Nafarroa,Faecal,2243251693,0.8073,0.8222,2026665255,0.9995,10493248205,19.2375,0.04,,19.31%,209,Male,Urodela,Amphibia,Spain,SD0385101,SD0385101,
EHI02603,AJP54,ERR13998658,35373476,34551394,5306021400,5089454922,3622558,95599221,12216,5087246543,2208379,2%,4%,0.041,2%,0%,0.00%,71.31,3424343,4.05,0.02,33,43.14,-1.91,16.4,Gipuzkoa,Faecal,3454658829,0.8304,0.8437,2543623262,0.9993,11342738978,19.0251,0.04,,22.43%,183,Male,Urodela,Amphibia,Spain,SD0385701,SD0385701,
EHI02607,AJP40,ERR13998536,38156108,37447222,5723416200,5506366589,4267163,112066770,1558,5506126638,239951,2%,4%,0.038,2%,0%,0.00%,65.92,2849984,22.56,0.06,37,43.03,-1.18,200,Nafarroa,Faecal,3382511423,0.8683,0.8789,2753056140,0.9994,8703230160,18.8963,0.04,,31.63%,223,Male,Urodela,Amphibia,Spain,SD0385201,SD0385201,
EHI02612,AJP66,ERR13998524,22469850,21947550,3370477500,3232874540,2298168,60439183,1076,3232703730,170810,2%,4%,0.041,2%,0%,0.00%,78.55,3533805,9.4,0.05,42,43,-1.17,76.1,Nafarroa,Faecal,2401418025,0.8281,0.8416,1616351991,0.9994,6266848131,18.5113,0.03,,25.79%,243,Male,Urodela,Amphibia,Spain,SD0383301,SD0383301,
EHI02615,AJP39,ERR13998521,16489502,15691650,2473425300,2284026086,2488885,73118184,2450,2283674487,351599,5%,8%,0.077,3%,0%,0.00%,65.2,3221469,5.55,0.14,45,43.03,-1.18,88.8,Nafarroa,Faecal,1354340112,0.718,0.7387,1141826804,0.9995,9651248296,19.306,0.01,,11.83%,191,Female,Urodela,Amphibia,Spain,SD0384901,SD0384901,
EHI02617,AJP68,ERR13998535,29826354,29023382,4473953100,4278174910,2880674,77836106,1384,4277931444,243466,3%,4%,0.044,2%,0%,0.00%,65.99,3249874,30.53,0.07,47,43.14,-1.91,176.6,Gipuzkoa,Faecal,2632071129,0.8145,0.829,2138963736,0.9955,21944342816,18.9031,0.05,,9.75%,184,Male,Urodela,Amphibia,Spain,SD0385801,SD0385801,
EHI02619,AJP59,ERR13998654,33723774,32674142,5058566100,4829294262,2819246,73343791,516,4829207979,86283,3%,5%,0.045,1%,0%,0.00%,74.38,3531710,3.86,0.02,49,43.16,-1.91,45.8,Nafarroa,Faecal,3413373533,0.8651,0.8759,2414604914,0.9996,6230642254,18.9663,0.06,,38.75%,274,Male,Urodela,Amphibia,Spain,SD0384201,SD0384201,
