##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04468_bin.161/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04468_bin.161/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04468_bin.161/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04468_bin.161/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04468_bin.161/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04468_bin.161/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04468_bin.161/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04468_bin.161/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04468_bin.161/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04468_bin.161/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04468_bin.161/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04468_bin.161/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04468_bin.161/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04468_bin.161/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04468_bin.161/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04468_bin.161/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04468_bin.161/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04468_bin.161/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04468_bin.161/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04468_bin.161/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04468_bin.161/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04468_bin.161/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04468_bin.161/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04468_bin.161/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04468_bin.161/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04468_bin.161/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04468_bin.161/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04468_bin.161/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04468_bin.161/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04468_bin.161/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04468_bin.161/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04468_bin.161/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04468_bin.161/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04468_bin.161/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04468_bin.161/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04468_bin.161/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04468_bin.161/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04468_bin.161/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04468_bin.161/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04468_bin.161/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04468_bin.161/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99992192	0.99011821	0.99245602	0.99039972	0.99228352	0.98678505	0.99975711	0.99136382	0.99936128	0.98961610	0.99980265	0.98226166	0.99955821	NaN	0.99225664	0.99987108	0.99964023	0.99971944	NaN	NaN	0.99956483	NaN	0.99994087	0.99983048	0.98858929	0.99964923	0.98931217	0.99987775	0.99481863	0.99078459	NaN	0.98578262	0.99982673	0.99973184	0.98649895	0.97916669	0.98705721	0.98962116	0.99976766	0.99974614	NaN
2	0.99011821	0.99037081	0.99785054	0.99727136	0.99947590	0.99928480	0.99035561	0.99724442	0.99588263	0.99859667	0.99098450	0.99810064	0.99357766	NaN	1.00000000	0.98975521	0.99084932	0.99032855	NaN	NaN	0.99435347	NaN	0.98952645	0.99537611	0.99919534	0.99152189	0.99947006	0.99016535	0.99813628	0.99923450	NaN	1.00000000	0.99056482	0.99156737	0.99962682	0.99229586	0.99592549	0.99876666	0.99234217	0.99134135	NaN
3	0.99245602	0.99785054	0.99194485	0.99576932	0.99774975	0.99605471	0.99114937	0.99767101	0.99944007	0.99475938	0.99022275	1.00000000	0.99441743	NaN	0.99911970	0.99073935	0.99129856	0.99263352	NaN	NaN	0.99479055	NaN	0.99200964	0.99724400	0.99679458	0.99150300	0.99856162	0.99181557	0.99333084	0.99661124	NaN	1.00000000	0.99242657	0.99686295	0.99785602	0.99353170	0.99610388	0.99851412	0.99204546	0.99227631	NaN
4	0.99039972	0.99727136	0.99576932	0.98893410	0.99829108	0.99837458	0.99214661	0.99793315	0.99610895	0.99799085	0.99115294	1.00000000	0.99325794	NaN	1.00000000	0.99017692	0.99380124	0.99000776	NaN	NaN	0.99357849	NaN	0.99158114	0.99464762	0.99733895	0.99158275	0.99909645	0.99052131	0.99831593	0.99814451	NaN	1.00000000	0.99275672	0.99407506	0.99804497	0.99384993	1.00000000	0.99800599	0.99109530	0.99375147	NaN
5	0.99228352	0.99947590	0.99774975	0.99829108	0.99255764	0.99835372	0.99418950	0.99732530	1.00000000	0.99796385	0.99119478	1.00000000	0.99619627	NaN	1.00000000	0.99173474	0.99358976	0.99199760	NaN	NaN	0.99570054	NaN	0.99333936	0.99753618	0.99790454	0.98962945	0.99856836	0.99246138	0.99775064	0.99840128	NaN	1.00000000	0.99270302	0.99664617	0.99864131	0.99387252	0.99662846	0.99788457	0.99434602	0.99474871	NaN
6	0.98678505	0.99928480	0.99605471	0.99837458	0.99835372	0.98635101	0.98835731	0.99697059	0.99642646	0.99802244	0.98712754	1.00000000	0.99184614	NaN	1.00000000	0.98608196	0.98973030	0.98696256	NaN	NaN	0.99212635	NaN	0.98699236	0.99461228	0.99934185	0.98843622	0.99922860	0.98674351	0.99964571	0.99934173	NaN	1.00000000	0.98646605	0.99168348	0.99839741	0.99172187	1.00000000	0.99763930	0.98865014	0.98981917	NaN
7	0.99975711	0.99035561	0.99114937	0.99214661	0.99418950	0.98835731	0.99977416	0.99269938	0.99583733	0.99086791	0.99960744	0.99425888	0.99980599	NaN	0.99180329	0.99979818	0.99984998	0.99989063	NaN	NaN	0.99958050	NaN	0.99971306	0.99926537	0.99178934	0.99980640	0.98947442	0.99973053	0.99475026	0.99204475	NaN	0.98747593	0.99977762	0.99955577	0.98798686	0.98946363	0.99472576	0.98933011	0.99985278	0.99959528	NaN
8	0.99136382	0.99724442	0.99767101	0.99793315	0.99732530	0.99697059	0.99269938	0.99202788	1.00000000	0.99877113	0.99303895	1.00000000	0.99376392	NaN	0.99909258	0.99003178	0.99239624	0.98986787	NaN	NaN	0.99560022	NaN	0.99236518	0.99745268	0.99696302	0.99162805	0.99724823	0.99165320	0.99699157	0.99631625	NaN	0.99894625	0.99631810	0.99744028	0.99778479	0.99273258	0.99847716	0.99887544	0.99842393	0.99682289	NaN
9	0.99936128	0.99588263	0.99944007	0.99610895	1.00000000	0.99642646	0.99583733	1.00000000	0.99646890	0.99531978	0.99671531	1.00000000	0.99935359	NaN	1.00000000	0.99591124	0.99692172	0.99869794	NaN	NaN	0.99678916	NaN	0.99765706	0.99944508	0.99610221	0.99660444	0.99743587	0.99793851	1.00000000	0.99817908	NaN	0.98620689	0.99810427	0.99820727	1.00000000	NaN	1.00000000	NaN	0.99702710	0.99750310	NaN
10	0.98961610	0.99859667	0.99475938	0.99799085	0.99796385	0.99802244	0.99086791	0.99877113	0.99531978	0.99018121	0.99071008	1.00000000	0.99368465	NaN	0.99909830	0.98931420	0.99050528	0.98974401	NaN	NaN	0.99255931	NaN	0.99020636	0.99521732	0.99846041	0.99195904	0.99826688	0.99002081	0.99726403	0.99783701	NaN	1.00000000	0.99392599	0.99279588	0.99883097	0.99320650	0.99619532	0.99820948	0.99035478	0.99294972	NaN
