##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04468_bin.161/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04468_bin.161/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04468_bin.161/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04468_bin.161/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04468_bin.161/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04468_bin.161/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04468_bin.161/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04468_bin.161/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04468_bin.161/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04468_bin.161/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04468_bin.161/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04468_bin.161/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04468_bin.161/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04468_bin.161/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04468_bin.161/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04468_bin.161/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04468_bin.161/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04468_bin.161/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04468_bin.161/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04468_bin.161/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04468_bin.161/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04468_bin.161/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04468_bin.161/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04468_bin.161/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04468_bin.161/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04468_bin.161/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04468_bin.161/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04468_bin.161/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04468_bin.161/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04468_bin.161/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04468_bin.161/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04468_bin.161/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04468_bin.161/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04468_bin.161/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04468_bin.161/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04468_bin.161/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04468_bin.161/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04468_bin.161/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04468_bin.161/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04468_bin.161/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04468_bin.161/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99992192	0.99267137	0.99405473	0.99458891	0.99742782	0.98899466	0.99983662	0.99784094	0.99978709	0.99307740	0.99991977	0.99445677	0.99976087	NaN	0.99604928	0.99992293	0.99978089	0.99977601	NaN	NaN	0.99975061	NaN	1.00000000	1.00000000	0.99118817	0.99978101	0.99134225	0.99997354	0.99844557	0.99350387	NaN	0.98870581	0.99994099	0.99988800	0.98725367	0.98842591	0.99523163	0.99377269	0.99987376	0.99993140	NaN
2	0.99267137	0.99037081	0.99887413	0.99840045	1.00000000	0.99991059	0.99300784	0.99889779	0.99588263	0.99925709	0.99338865	0.99810064	0.99527764	NaN	1.00000000	0.99198067	0.99316925	0.99075520	NaN	NaN	0.99618477	NaN	0.99292815	0.99555397	1.00000000	0.99545699	1.00000000	0.99475485	0.99958581	1.00000000	NaN	1.00000000	0.99287546	0.99395049	1.00000000	1.00000000	0.99883586	0.99926001	0.99333829	0.99347055	NaN
3	0.99405473	0.99887413	0.99194485	0.99799597	0.99977499	0.99790144	0.99301922	1.00000000	0.99944007	0.99745911	0.99368811	1.00000000	0.99699396	NaN	0.99911970	0.99303603	0.99546331	0.99461681	NaN	NaN	0.99734211	NaN	0.99450940	0.99766803	0.99839729	0.99547291	0.99955744	0.99546105	0.99685067	0.99830562	NaN	1.00000000	0.99380356	0.99806952	0.99892801	1.00000000	0.99935067	0.99936318	0.99419194	0.99506545	NaN
4	0.99458891	0.99840045	0.99799597	0.98893410	1.00000000	0.99873579	0.99586219	0.99896657	0.99708170	0.99926943	0.99543679	1.00000000	0.99608523	NaN	1.00000000	0.99371570	0.99548227	0.99130547	NaN	NaN	0.99708116	NaN	0.99462795	0.99620873	0.99844009	0.99583071	0.99977410	0.99552399	0.99865276	0.99912107	NaN	1.00000000	0.99424797	0.99506253	1.00000000	1.00000000	1.00000000	0.99900299	0.99376673	0.99537146	NaN
5	0.99742782	1.00000000	0.99977499	1.00000000	0.99255764	1.00000000	0.99776518	0.99866265	1.00000000	0.99898195	0.99525875	1.00000000	0.99885887	NaN	1.00000000	0.99472219	0.99604475	0.99259037	NaN	NaN	0.99898839	NaN	0.99582297	0.99846011	0.99930149	0.99460733	1.00000000	0.99660760	1.00000000	1.00000000	NaN	1.00000000	0.99397206	0.99832308	1.00000000	1.00000000	1.00000000	0.99909335	0.99585372	0.99662417	NaN
6	0.98899466	0.99991059	0.99790144	0.99873579	1.00000000	0.98635101	0.99021620	0.99787945	0.99642646	0.99881345	0.98892790	1.00000000	0.99393684	NaN	1.00000000	0.98800170	0.99097168	0.98728180	NaN	NaN	0.99420619	NaN	0.98941237	0.99576676	0.99991775	0.99122107	1.00000000	0.98984551	0.99964571	0.99990594	NaN	1.00000000	0.98704696	0.99218750	1.00000000	1.00000000	1.00000000	0.99881965	0.98945725	0.99088287	NaN
7	0.99983662	0.99300784	0.99301922	0.99586219	0.99776518	0.99021620	0.99977416	0.99569452	0.99903941	0.99449056	0.99976450	0.99739039	0.99995738	NaN	0.99453551	0.99986041	0.99995434	0.99997699	NaN	NaN	0.99983585	NaN	0.99980873	0.99972832	0.99348813	0.99991935	0.99167585	0.99990004	0.99616915	0.99378496	NaN	0.98830169	0.99981105	0.99960804	0.98886770	0.99521071	0.99824190	0.99203134	0.99993086	0.99971920	NaN
8	0.99784094	0.99889779	1.00000000	0.99896657	0.99866265	0.99787945	0.99569452	0.99202788	1.00000000	1.00000000	0.99622118	1.00000000	0.99866372	NaN	1.00000000	0.99349898	0.99445128	0.99074888	NaN	NaN	0.99937147	NaN	0.99593890	0.99890828	0.99861956	0.99804062	1.00000000	0.99892300	0.99789411	0.99858320	NaN	0.99894625	0.99705452	1.00000000	0.99968356	1.00000000	0.99923855	1.00000000	1.00000000	0.99801427	NaN
9	0.99978709	0.99588263	0.99944007	0.99708170	1.00000000	0.99642646	0.99903941	1.00000000	0.99646890	0.99531978	0.99927008	1.00000000	0.99935359	NaN	1.00000000	0.99844235	0.99824101	0.99956596	NaN	NaN	0.99857295	NaN	0.99872202	0.99944508	0.99653530	0.99943405	0.99829060	0.99887556	1.00000000	0.99848253	NaN	0.98620689	0.99936807	0.99856579	1.00000000	NaN	1.00000000	NaN	0.99925679	1.00000000	NaN
10	0.99307740	0.99925709	0.99745911	0.99926943	0.99898195	0.99881345	0.99449056	1.00000000	0.99531978	0.99018121	0.99359065	1.00000000	0.99564457	NaN	1.00000000	0.99197233	0.99215657	0.99056447	NaN	NaN	0.99503952	NaN	0.99270409	0.99646497	0.99919355	0.99581337	0.99978334	0.99365902	0.99840403	0.99904829	NaN	1.00000000	0.99595070	0.99451113	0.99976617	1.00000000	0.99936587	1.00000000	0.99173272	0.99545145	NaN
