##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA04468_bin.161/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA04468_bin.161/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA04468_bin.161/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA04468_bin.161/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA04468_bin.161/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA04468_bin.161/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA04468_bin.161/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA04468_bin.161/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA04468_bin.161/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA04468_bin.161/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA04468_bin.161/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA04468_bin.161/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA04468_bin.161/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA04468_bin.161/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA04468_bin.161/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA04468_bin.161/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA04468_bin.161/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA04468_bin.161/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA04468_bin.161/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA04468_bin.161/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA04468_bin.161/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA04468_bin.161/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA04468_bin.161/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA04468_bin.161/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA04468_bin.161/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA04468_bin.161/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA04468_bin.161/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA04468_bin.161/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA04468_bin.161/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA04468_bin.161/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA04468_bin.161/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA04468_bin.161/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA04468_bin.161/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA04468_bin.161/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA04468_bin.161/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA04468_bin.161/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA04468_bin.161/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA04468_bin.161/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA04468_bin.161/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA04468_bin.161/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA04468_bin.161/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99989402	0.99044919	0.99370503	0.99179614	0.99285507	0.98776239	0.99978215	0.99352282	0.99978709	0.99087477	0.99987417	0.98447895	0.99958658	NaN	0.99336284	0.99988711	0.99970245	0.99975950	NaN	NaN	0.99958926	NaN	0.99996454	0.99990755	0.98862988	0.99968380	0.98984951	0.99992281	0.99568224	0.99164063	NaN	0.98671275	0.99991238	0.99983704	0.98654085	0.98148149	0.98978204	0.99247533	0.99979800	0.99989021	NaN
2	0.99044919	0.98972404	0.99662232	0.99830633	1.00000000	0.99991059	0.99240506	0.99669331	0.99588263	0.99818391	0.99170572	0.99810064	0.99395543	NaN	1.00000000	0.99125165	0.99239594	0.99032855	NaN	NaN	0.99531996	NaN	0.99095875	0.99466479	0.99959767	0.99337751	1.00000000	0.99118525	0.99958581	0.99991494	NaN	0.99972796	0.99101412	0.99340057	0.99869376	1.00000000	0.99883586	0.99654663	0.99290252	0.99176723	NaN
3	0.99370503	0.99662232	0.99235445	0.99510133	0.99549955	0.99563503	0.99177265	0.99854439	0.99944007	0.99475938	0.99368811	0.99258161	0.99484682	NaN	0.99471831	0.99229515	0.99345529	0.99461681	NaN	NaN	0.99627894	NaN	0.99294704	0.99830401	0.99641746	0.99477643	0.99734455	0.99399573	0.99240458	0.99586993	NaN	0.99891275	0.99372703	0.99879342	0.99678397	0.99353170	0.99610388	0.99915093	0.99419194	0.99485087	NaN
4	0.99179614	0.99830633	0.99510133	0.98842531	1.00000000	0.99855518	0.99341327	0.99793315	0.99610895	0.99853879	0.99273610	1.00000000	0.99412787	NaN	1.00000000	0.99231237	0.99432653	0.99065661	NaN	NaN	0.99513525	NaN	0.99342525	0.99464762	0.99743074	0.99370676	0.99954826	0.99223274	0.99831593	0.99882811	NaN	0.99969494	0.99296975	0.99473339	0.99837083	1.00000000	1.00000000	0.99667662	0.99198574	0.99398285	NaN
5	0.99285507	1.00000000	0.99549955	1.00000000	0.99074244	1.00000000	0.99731821	0.99665666	1.00000000	0.99770933	0.99133027	1.00000000	0.99657667	NaN	1.00000000	0.99322844	0.99536282	0.99229401	NaN	NaN	0.99721801	NaN	0.99480695	0.99630427	0.99813735	0.99170351	1.00000000	0.99283832	0.99935734	0.99973357	NaN	0.99966985	0.99270302	0.99664617	0.99762231	1.00000000	1.00000000	0.99576914	0.99434602	0.99474871	NaN
6	0.98776239	0.99991059	0.99563503	0.99855518	1.00000000	0.98635101	0.98933566	0.99697059	0.99642646	0.99815422	0.98811775	1.00000000	0.99268240	NaN	1.00000000	0.98758173	0.99040741	0.98701572	NaN	NaN	0.99336439	NaN	0.98835361	0.99518955	0.99950635	0.98997456	1.00000000	0.98753363	0.99964571	0.99981195	NaN	0.99974483	0.98675650	0.99294353	0.99875355	1.00000000	1.00000000	0.99669498	0.98920500	0.99027503	NaN
7	0.99978215	0.99240506	0.99177265	0.99341327	0.99731821	0.98933566	0.99975175	0.99400973	0.99679798	0.99215096	0.99965346	0.99791229	0.99990535	NaN	0.99544626	0.99982125	0.99993479	0.99994820	NaN	NaN	0.99975681	NaN	0.99973112	0.99941635	0.99273312	0.99986291	0.99133188	0.99984956	0.99631101	0.99328774	NaN	0.98871458	0.99978954	0.99956447	0.98854959	0.99616855	0.99718708	0.99108589	0.99992186	0.99960357	NaN
8	0.99352282	0.99669331	0.99854439	0.99793315	0.99665666	0.99697059	0.99400973	0.99128050	1.00000000	0.99969280	0.99443120	1.00000000	0.99331850	NaN	0.99909258	0.98959839	0.99219072	0.99030834	NaN	NaN	0.99528599	NaN	0.99252760	0.99890828	0.99641085	0.99572498	0.99724823	0.99542272	0.99699157	0.99688298	NaN	0.99859500	0.99705452	0.99914676	0.99905062	1.00000000	0.99847716	0.99887544	0.99842393	0.99801427	NaN
9	0.99978709	0.99588263	0.99944007	0.99610895	1.00000000	0.99642646	0.99679798	1.00000000	0.99646890	0.99531978	0.99890512	1.00000000	0.99935359	NaN	1.00000000	0.99805295	0.99780124	0.99956596	NaN	NaN	0.99857295	NaN	0.99850905	0.99944508	0.99610221	0.99801922	0.99829060	0.99868816	1.00000000	0.99817908	NaN	0.98620689	0.99905211	0.99820727	1.00000000	NaN	1.00000000	NaN	0.99739873	0.99916768	NaN
10	0.99087477	0.99818391	0.99475938	0.99853879	0.99770933	0.99815422	0.99215096	0.99969280	0.99531978	0.98977631	0.99222237	1.00000000	0.99303138	NaN	1.00000000	0.98989898	0.99075300	0.99015427	NaN	NaN	0.99271429	NaN	0.99079794	0.99604905	0.99824047	0.99441785	0.99783361	0.99178797	0.99749202	0.99826962	NaN	0.99971741	0.99484628	0.99451113	0.99953240	1.00000000	0.99682945	0.99850792	0.99104375	0.99408686	NaN
