##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA03358_bin.6/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA03358_bin.6/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA03358_bin.6/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA03358_bin.6/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA03358_bin.6/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA03358_bin.6/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA03358_bin.6/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA03358_bin.6/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA03358_bin.6/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA03358_bin.6/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA03358_bin.6/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA03358_bin.6/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA03358_bin.6/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA03358_bin.6/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA03358_bin.6/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA03358_bin.6/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA03358_bin.6/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA03358_bin.6/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA03358_bin.6/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA03358_bin.6/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA03358_bin.6/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA03358_bin.6/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA03358_bin.6/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA03358_bin.6/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA03358_bin.6/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA03358_bin.6/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA03358_bin.6/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA03358_bin.6/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA03358_bin.6/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA03358_bin.6/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA03358_bin.6/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA03358_bin.6/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA03358_bin.6/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA03358_bin.6/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA03358_bin.6/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA03358_bin.6/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA03358_bin.6/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA03358_bin.6/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA03358_bin.6/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA03358_bin.6/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA03358_bin.6/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99036813	0.99799877	0.99756098	0.99473006	0.99900889	0.99527764	0.99825680	0.99422586	0.99928772	0.99317771	0.99777573	0.98812789	1.00000000	NaN	0.99894905	0.99828869	0.99702257	0.99829930	NaN	NaN	0.99888152	NaN	0.99988085	0.99870127	0.99729258	0.99795210	0.99402809	0.99858248	0.99311399	0.99635142	NaN	0.99499649	0.99774975	0.99925399	0.99504733	0.99025846	0.99472296	0.99536312	0.99557984	0.99868381	NaN
2	0.99799877	0.99630046	0.99836677	0.99914855	0.99983269	0.99844104	0.99643654	0.99673325	0.99774414	0.99873418	0.99657422	0.99583381	0.99752575	NaN	0.99864376	0.99651361	0.99423003	0.99777579	NaN	NaN	0.99762130	NaN	0.99850917	0.99683297	0.99944526	0.99661422	0.99788344	0.99911129	0.99638873	0.99945056	NaN	0.99818319	0.99812263	0.99779910	0.99769121	0.99614346	0.99728996	0.99734777	0.99292970	0.99640518	NaN
3	0.99756098	0.99836677	0.99913371	0.99930948	0.99941844	0.99892092	0.99716496	0.99936408	0.99667358	0.99881500	0.99835074	0.99902493	0.99772036	NaN	0.99908298	0.99770510	0.99767381	0.99682540	NaN	NaN	0.99658257	NaN	0.99668509	0.99838579	0.99897206	0.99647337	0.99891514	0.99908400	0.99940389	0.99886775	NaN	0.99889934	0.99745601	0.99881935	0.99942786	0.99901950	0.99820304	0.99938184	0.99744713	0.99703616	NaN
4	0.99473006	0.99914855	0.99930948	0.99805093	0.99979913	0.99903542	0.99465066	0.99860203	0.99593598	0.99862021	0.99628240	0.99797559	0.99688798	NaN	0.99931282	0.99607575	0.99634844	0.99748868	NaN	NaN	0.99326962	NaN	0.99442440	0.99705881	0.99940610	0.99498129	0.99863821	0.99536383	0.99820602	0.99906570	NaN	0.99852312	0.99640214	0.99527264	0.99866235	0.99792773	0.99928147	0.99837643	0.99562550	0.99623072	NaN
5	0.99900889	0.99983269	0.99941844	0.99979913	0.99770284	0.99960262	0.99800974	0.99894804	0.99850076	0.99977589	0.99858642	0.99825048	0.99892646	NaN	0.99938005	0.99817014	0.99759465	0.99939281	NaN	NaN	0.99778432	NaN	0.99922538	0.99758309	0.99975264	0.99808967	0.99943340	0.99881995	0.99810660	0.99985331	NaN	0.99982882	0.99906892	0.99761093	0.99952734	0.99740261	0.99834573	0.99870586	0.99710256	0.99804372	NaN
6	0.99527764	0.99844104	0.99892092	0.99903542	0.99960262	0.99813855	0.99487543	0.99861962	0.99599999	0.99915665	0.99635214	0.99823141	0.99619484	NaN	0.99928528	0.99661446	0.99674225	0.99741745	NaN	NaN	0.99612111	NaN	0.99355453	0.99710613	0.99915272	0.99575651	0.99917090	0.99532819	0.99804801	0.99896067	NaN	0.99908715	0.99665982	0.99599832	0.99811792	0.99761736	0.99820787	0.99814802	0.99623829	0.99611914	NaN
7	0.99825680	0.99643654	0.99716496	0.99465066	0.99800974	0.99487543	0.99181783	0.99320561	0.99867183	0.99252111	0.99654186	0.99219763	0.99754125	NaN	0.99827468	0.99882066	0.99702591	0.99951053	NaN	NaN	0.99897730	NaN	0.99878967	0.99941790	0.99676448	0.99789697	0.99286735	0.99884170	0.99385899	0.99828446	NaN	0.99421412	0.99880195	0.99776310	0.99531615	0.99190938	0.99899900	0.99457973	0.99824810	0.99882305	NaN
8	0.99422586	0.99673325	0.99936408	0.99860203	0.99894804	0.99861962	0.99320561	0.99889690	0.99453092	0.99792707	0.99527889	0.99925077	0.99469239	NaN	0.99887490	0.99513650	0.99623680	0.99738991	NaN	NaN	0.99348748	NaN	0.99130350	0.99552387	0.99829125	0.99466938	0.99859005	0.99310827	0.99839461	0.99806660	NaN	0.99806809	0.99492204	0.99541360	0.99869311	0.99842566	0.99830276	0.99889940	0.99589068	0.99538386	NaN
9	0.99928772	0.99774414	0.99667358	0.99593598	0.99850076	0.99599999	0.99867183	0.99453092	0.99001986	0.99282378	0.99818510	0.99011922	0.99803281	NaN	1.00000000	0.99779230	0.99794787	0.99910951	NaN	NaN	0.99876696	NaN	0.99812007	1.00000000	0.99608254	0.99828911	0.99467468	0.99826610	0.99330902	0.99699497	NaN	0.99580032	0.99776918	0.99840426	0.99432534	0.99070144	1.00000000	0.99490243	0.99672693	0.99900508	NaN
10	0.99317771	0.99873418	0.99881500	0.99862021	0.99977589	0.99915665	0.99252111	0.99792707	0.99282378	0.99761832	0.99465477	0.99703580	0.99704617	NaN	0.99949771	0.99372327	0.99614346	0.99799651	NaN	NaN	0.99192429	NaN	0.99044728	0.99793154	0.99913514	0.99334705	0.99894190	0.99286926	0.99747133	0.99881077	NaN	0.99976206	0.99294192	0.99286562	0.99805301	0.99744469	0.99867147	0.99847686	0.99474579	0.99527186	NaN
11	0.99777573	0.99657422	0.99835074	0.99628240	0.99858642	0.99635214	0.99654186	0.99527889	0.99818510	0.99465477	0.99511462	0.99457943	0.99866915	NaN	0.99800044	0.99769312	0.99853903	0.99920887	NaN	NaN	0.99695498	NaN	0.99774384	1.00000000	0.99742997	0.99762976	0.99452734	0.99801630	0.99579424	0.99851650	NaN	0.99505949	0.99716234	0.99885297	0.99673176	0.99378681	1.00000000	0.99530351	0.99813253	0.99872333	NaN
12	0.98812789	0.99583381	0.99902493	0.99797559	0.99825048	0.99823141	0.99219763	0.99925077	0.99011922	0.99703580	0.99457943	0.99941826	0.99490738	NaN	0.99885881	0.99391615	0.99549639	0.99707288	NaN	NaN	0.99087340	NaN	0.98876351	0.99547595	0.99749207	0.99322468	0.99801284	0.99187422	0.99886721	0.99744064	NaN	0.99747503	0.99424225	0.98759240	0.99859548	0.99891245	0.99738818	0.99815977	0.99559939	0.99356169	NaN
13	1.00000000	0.99752575	0.99772036	0.99688798	0.99892646	0.99619484	0.99754125	0.99469239	0.99803281	0.99704617	0.99866915	0.99490738	0.99445927	NaN	0.99825174	0.99972439	0.99562556	1.00000000	NaN	NaN	0.99929923	NaN	1.00000000	0.99828029	0.99830365	0.99726778	0.99661970	0.99867445	0.99468893	0.99799359	NaN	0.99733776	0.99799597	0.99935317	0.99669605	0.99379158	0.99444443	0.99535364	0.99857551	0.99888271	NaN
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	0.99894905	0.99864376	0.99908298	0.99931282	0.99938005	0.99928528	0.99827468	0.99887490	1.00000000	0.99949771	0.99800044	0.99885881	0.99825174	NaN	0.99822497	0.99832517	0.99888968	1.00000000	NaN	NaN	0.99882627	NaN	0.99795920	1.00000000	0.99903005	0.99874616	0.99898404	0.99829447	0.99734604	0.99921906	NaN	0.99941480	0.99916768	0.99757111	0.99907392	0.99689984	1.00000000	0.99646866	0.99897170	0.99905598	NaN
16	0.99828869	0.99651361	0.99770510	0.99607575	0.99817014	0.99661446	0.99882066	0.99513650	0.99779230	0.99372327	0.99769312	0.99391615	0.99972439	NaN	0.99832517	0.99328190	0.99840474	0.99950188	NaN	NaN	0.99913728	NaN	0.99904150	0.99941248	0.99769098	0.99828982	0.99397165	0.99917400	0.99550653	0.99808770	NaN	0.99488115	0.99932414	0.99779695	0.99618679	0.99301249	0.99796021	0.99571657	0.99845570	0.99898785	NaN
17	0.99702257	0.99423003	0.99767381	0.99634844	0.99759465	0.99674225	0.99702591	0.99623680	0.99794787	0.99614346	0.99853903	0.99549639	0.99562556	NaN	0.99888968	0.99840474	0.99660701	0.99953812	NaN	NaN	0.99826169	NaN	0.99628776	0.99907666	0.99660295	0.99738169	0.99646932	0.99770135	0.99573469	0.99713612	NaN	0.99588281	0.99826193	0.99478352	0.99658501	0.99580854	0.99924630	0.99709970	0.99810320	0.99843436	NaN
18	0.99829930	0.99777579	0.99682540	0.99748868	0.99939281	0.99741745	0.99951053	0.99738991	0.99910951	0.99799651	0.99920887	0.99707288	1.00000000	NaN	1.00000000	0.99950188	0.99953812	0.99799401	NaN	NaN	0.99904943	NaN	0.99900103	1.00000000	0.99904430	0.99937147	0.99704796	0.99941003	0.99773663	0.99900889	NaN	0.99666840	0.99946350	0.99651569	0.99952048	0.99758708	1.00000000	0.99807090	0.99896210	0.99939829	NaN
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
