##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA03358_bin.6/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA03358_bin.6/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA03358_bin.6/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA03358_bin.6/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA03358_bin.6/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA03358_bin.6/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA03358_bin.6/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA03358_bin.6/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA03358_bin.6/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA03358_bin.6/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA03358_bin.6/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA03358_bin.6/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA03358_bin.6/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA03358_bin.6/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA03358_bin.6/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA03358_bin.6/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA03358_bin.6/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA03358_bin.6/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA03358_bin.6/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA03358_bin.6/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA03358_bin.6/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA03358_bin.6/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA03358_bin.6/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA03358_bin.6/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA03358_bin.6/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA03358_bin.6/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA03358_bin.6/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA03358_bin.6/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA03358_bin.6/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA03358_bin.6/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA03358_bin.6/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA03358_bin.6/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA03358_bin.6/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA03358_bin.6/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA03358_bin.6/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA03358_bin.6/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA03358_bin.6/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA03358_bin.6/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA03358_bin.6/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA03358_bin.6/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA03358_bin.6/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99029344	0.99784482	0.99715447	0.99526781	0.99950445	0.99570692	0.99840623	0.99476302	0.99985754	0.99353141	0.99878675	0.98842621	1.00000000	NaN	1.00000000	0.99921769	0.99844038	0.99829930	NaN	NaN	0.99951369	NaN	0.99988085	1.00000000	0.99790394	0.99872577	0.99503225	0.99882686	0.99342006	0.99766493	NaN	0.99508429	0.99901205	0.99925399	0.99559760	0.99096549	1.00000000	0.99602556	0.99687988	0.99947351	NaN
2	0.99784482	0.99626422	0.99836677	0.99916834	0.99949807	0.99884194	0.99643654	0.99755472	0.99806637	0.99875641	0.99712676	0.99682397	0.99711341	NaN	0.99909586	0.99711472	0.99564046	0.99777579	NaN	NaN	0.99809706	NaN	0.99862385	0.99841648	0.99976224	0.99721169	0.99842298	0.99893349	0.99741220	0.99978024	NaN	0.99861348	0.99874842	0.99799919	0.99748135	0.99672192	0.99728996	0.99732512	0.99269205	0.99649739	NaN
3	0.99715447	0.99836677	0.99913371	0.99936259	0.99912763	0.99885744	0.99742270	0.99951553	0.99708939	0.99925160	0.99871725	0.99927771	0.99696046	NaN	0.99954152	0.99770510	0.99793226	0.99682540	NaN	NaN	0.99684542	NaN	0.99668509	0.99919289	0.99914342	0.99686521	0.99914759	0.99908400	0.99960262	0.99886775	NaN	0.99911946	0.99809200	0.99881935	0.99967307	0.99943972	0.99910152	0.99972528	0.99786276	0.99743134	NaN
4	0.99526781	0.99916834	0.99936259	0.99785298	0.99979913	0.99929267	0.99481118	0.99909365	0.99637365	0.99871647	0.99654561	0.99880284	0.99723375	NaN	0.99972510	0.99639612	0.99704224	0.99773985	NaN	NaN	0.99370992	NaN	0.99451023	0.99893045	0.99946266	0.99543071	0.99904251	0.99549627	0.99866331	0.99920583	NaN	0.99854565	0.99687141	0.99558777	0.99892467	0.99830532	0.99964076	0.99872375	0.99610478	0.99641168	NaN
5	0.99950445	0.99949807	0.99912763	0.99979913	0.99724340	0.99977922	0.99823087	0.99952364	0.99925035	0.99986553	0.99890560	0.99900645	0.99946326	NaN	0.99979335	0.99835944	0.99806023	0.99939281	NaN	NaN	0.99881834	NaN	0.99922538	0.99939579	0.99962896	0.99859238	0.99982566	0.99905592	0.99861151	0.99985331	NaN	0.99987161	0.99962759	0.99795222	0.99952734	0.99798477	0.99917287	0.99905431	0.99754566	0.99828225	NaN
6	0.99570692	0.99884194	0.99885744	0.99929267	0.99977922	0.99785107	0.99507004	0.99901855	0.99645901	0.99959517	0.99674600	0.99866581	0.99657536	NaN	0.99979579	0.99680853	0.99739021	0.99782521	NaN	NaN	0.99678338	NaN	0.99366021	0.99935693	0.99923265	0.99601847	0.99946105	0.99555606	0.99845350	0.99925381	NaN	0.99928594	0.99717367	0.99620891	0.99856448	0.99806190	0.99928313	0.99867934	0.99675822	0.99667782	NaN
7	0.99840623	0.99643654	0.99742270	0.99481118	0.99823087	0.99507004	0.99184400	0.99393082	0.99897832	0.99265289	0.99898511	0.99347365	0.99859500	NaN	0.99827468	0.99927425	0.99776351	0.99951053	NaN	NaN	0.99918181	NaN	0.99883139	0.99941790	0.99745780	0.99878025	0.99343008	0.99909353	0.99465591	0.99906427	NaN	0.99455118	0.99913740	0.99786031	0.99539691	0.99240303	0.99899900	0.99466574	0.99850988	0.99903703	NaN
8	0.99476302	0.99755472	0.99951553	0.99909365	0.99952364	0.99901855	0.99393082	0.99842805	0.99495161	0.99868482	0.99556559	0.99932170	0.99493366	NaN	0.99962497	0.99536812	0.99742895	0.99793369	NaN	NaN	0.99388623	NaN	0.99140346	0.99668437	0.99878651	0.99490440	0.99905556	0.99308425	0.99854100	0.99824649	NaN	0.99853134	0.99543381	0.99558347	0.99902356	0.99853873	0.99881196	0.99969888	0.99636799	0.99587041	NaN
9	0.99985754	0.99806637	0.99708939	0.99637365	0.99925035	0.99645901	0.99897832	0.99495161	0.99020582	0.99313200	0.99838680	0.99074459	1.00000000	NaN	1.00000000	0.99932808	0.99875087	0.99910951	NaN	NaN	0.99966371	NaN	0.99852288	1.00000000	0.99738836	0.99850297	0.99529392	0.99861288	0.99412006	0.99899834	NaN	0.99609607	0.99941295	0.99867022	0.99477571	0.99103832	1.00000000	0.99506688	0.99709058	0.99958545	NaN
10	0.99353141	0.99875641	0.99925160	0.99871647	0.99986553	0.99959517	0.99265289	0.99868482	0.99313200	0.99735510	0.99453050	0.99780017	0.99785179	NaN	0.99966514	0.99395102	0.99666935	0.99799651	NaN	NaN	0.99206901	NaN	0.99026000	0.99849570	0.99932730	0.99344379	0.99962455	0.99300092	0.99799687	0.99902695	NaN	0.99995244	0.99329305	0.99346018	0.99819016	0.99798554	0.99867147	0.99884862	0.99512452	0.99534893	NaN
