##source=lorikeet-v0.8.2
##sample=<ID=1, name=filtered/EHA03353_bin.11/PRB0174_EHI02067_DMB0156.bam>
##sample=<ID=2, name=filtered/EHA03353_bin.11/PRB0174_EHI02065_DMB0156.bam>
##sample=<ID=3, name=filtered/EHA03353_bin.11/PRB0237_EHI02617_DMB0156.bam>
##sample=<ID=4, name=filtered/EHA03353_bin.11/PRB0164_EHI01968_DMB0156.bam>
##sample=<ID=5, name=filtered/EHA03353_bin.11/PRB0237_EHI02630_DMB0156.bam>
##sample=<ID=6, name=filtered/EHA03353_bin.11/PRB0237_EHI02639_DMB0156.bam>
##sample=<ID=7, name=filtered/EHA03353_bin.11/PRB0237_EHI02607_DMB0156.bam>
##sample=<ID=8, name=filtered/EHA03353_bin.11/PRB0237_EHI02582_DMB0156.bam>
##sample=<ID=9, name=filtered/EHA03353_bin.11/PRB0237_EHI02612_DMB0156.bam>
##sample=<ID=10, name=filtered/EHA03353_bin.11/PRB0237_EHI02619_DMB0156.bam>
##sample=<ID=11, name=filtered/EHA03353_bin.11/PRB0164_EHI01985_DMB0156.bam>
##sample=<ID=12, name=filtered/EHA03353_bin.11/PRB0164_EHI01966_DMB0156.bam>
##sample=<ID=13, name=filtered/EHA03353_bin.11/PRB0237_EHI02615_DMB0156.bam>
##sample=<ID=14, name=filtered/EHA03353_bin.11/PRB0237_EHI02695_DMB0156.bam>
##sample=<ID=15, name=filtered/EHA03353_bin.11/PRB0237_EHI02592_DMB0156.bam>
##sample=<ID=16, name=filtered/EHA03353_bin.11/PRB0237_EHI02585_DMB0156.bam>
##sample=<ID=17, name=filtered/EHA03353_bin.11/PRB0237_EHI02602_DMB0156.bam>
##sample=<ID=18, name=filtered/EHA03353_bin.11/PRB0237_EHI02632_DMB0156.bam>
##sample=<ID=19, name=filtered/EHA03353_bin.11/PRB0237_EHI02698_DMB0156.bam>
##sample=<ID=20, name=filtered/EHA03353_bin.11/PRB0237_EHI02697_DMB0156.bam>
##sample=<ID=21, name=filtered/EHA03353_bin.11/PRB0237_EHI02624_DMB0156.bam>
##sample=<ID=22, name=filtered/EHA03353_bin.11/PRB0237_EHI02693_DMB0156.bam>
##sample=<ID=23, name=filtered/EHA03353_bin.11/PRB0174_EHI02088_DMB0156.bam>
##sample=<ID=24, name=filtered/EHA03353_bin.11/PRB0164_EHI01995_DMB0156.bam>
##sample=<ID=25, name=filtered/EHA03353_bin.11/PRB0174_EHI02097_DMB0156.bam>
##sample=<ID=26, name=filtered/EHA03353_bin.11/PRB0164_EHI01970_DMB0156.bam>
##sample=<ID=27, name=filtered/EHA03353_bin.11/PRB0237_EHI02633_DMB0156.bam>
##sample=<ID=28, name=filtered/EHA03353_bin.11/PRB0237_EHI02598_DMB0156.bam>
##sample=<ID=29, name=filtered/EHA03353_bin.11/PRB0164_EHI01989_DMB0156.bam>
##sample=<ID=30, name=filtered/EHA03353_bin.11/PRB0174_EHI02079_DMB0156.bam>
##sample=<ID=31, name=filtered/EHA03353_bin.11/PRB0237_EHI02696_DMB0156.bam>
##sample=<ID=32, name=filtered/EHA03353_bin.11/PRB0164_EHI01967_DMB0156.bam>
##sample=<ID=33, name=filtered/EHA03353_bin.11/PRB0164_EHI01992_DMB0156.bam>
##sample=<ID=34, name=filtered/EHA03353_bin.11/PRB0174_EHI02105_DMB0156.bam>
##sample=<ID=35, name=filtered/EHA03353_bin.11/PRB0164_EHI01979_DMB0156.bam>
##sample=<ID=36, name=filtered/EHA03353_bin.11/PRB0164_EHI01982_DMB0156.bam>
##sample=<ID=37, name=filtered/EHA03353_bin.11/PRB0237_EHI02625_DMB0156.bam>
##sample=<ID=38, name=filtered/EHA03353_bin.11/PRB0237_EHI02603_DMB0156.bam>
##sample=<ID=39, name=filtered/EHA03353_bin.11/PRB0237_EHI02584_DMB0156.bam>
##sample=<ID=40, name=filtered/EHA03353_bin.11/PRB0237_EHI02587_DMB0156.bam>
##sample=<ID=41, name=filtered/EHA03353_bin.11/PRB0237_EHI02694_DMB0156.bam>
SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      
1	0.99706590	0.99957210	0.99986887	0.99929279	0.99967712	0.99928683	1.00000000	0.99933237	0.99966353	0.99931383	0.99984097	0.99786526	0.99978900	NaN	0.99946582	1.00000000	1.00000000	1.00000000	NaN	NaN	0.99972296	NaN	0.99984920	1.00000000	0.99985629	0.99986237	0.99933058	1.00000000	0.99932432	0.99956036	NaN	0.99932212	0.99985284	1.00000000	0.99910992	0.99915004	1.00000000	0.99935824	0.99921530	0.99985987	NaN
2	0.99957210	0.99790835	0.99989283	0.99985230	0.99989372	0.99990898	0.99990124	0.99975157	0.99953252	1.00000000	0.99941987	0.99953085	0.99962091	NaN	0.99956065	0.99893564	0.99947375	0.99935126	NaN	NaN	0.99971175	NaN	0.99973696	0.99983025	0.99989277	0.99970919	0.99973828	0.99979317	0.99991536	1.00000000	NaN	0.99988109	0.99983591	0.99936801	0.99990684	0.99950588	0.99916226	0.99955708	0.99900568	0.99887210	NaN
3	0.99986887	0.99989283	0.99857944	0.99986905	1.00000000	0.99895740	0.99985713	0.99981242	0.99844021	0.99993438	0.99992347	0.99932075	0.99957377	NaN	0.99978149	0.99912989	1.00000000	0.99976414	NaN	NaN	0.99911875	NaN	0.99966502	1.00000000	1.00000000	0.99943388	0.99993700	0.99984944	1.00000000	1.00000000	NaN	0.99972850	0.99971873	0.99828178	0.99985284	0.99993610	0.99937123	0.99993193	0.99972069	0.99920869	NaN
4	0.99929279	0.99985230	0.99986905	0.99780762	0.99983174	0.99943334	0.99945962	0.99947834	0.99839926	0.99951696	0.99938262	0.99951583	1.00000000	NaN	1.00000000	0.99869633	0.99929011	0.99951047	NaN	NaN	0.99850762	NaN	0.99893445	0.99951750	0.99971259	0.99920744	0.99929643	0.99958891	0.99946392	1.00000000	NaN	0.99950290	0.99934351	0.99765718	0.99955267	0.99908835	0.99929529	0.99901944	0.99941719	0.99869049	NaN
5	0.99967712	0.99989372	1.00000000	0.99983174	0.99816823	0.99968046	1.00000000	0.99957114	0.99933773	0.99979836	0.99936974	0.99967593	1.00000000	NaN	1.00000000	0.99922729	0.99941999	0.99955857	NaN	NaN	0.99943590	NaN	0.99962628	1.00000000	1.00000000	0.99965566	0.99977839	0.99967438	0.99973458	0.99993509	NaN	0.99983174	0.99972636	0.99863356	0.99963772	0.99924028	0.99949300	0.99939305	0.99922675	0.99905199	NaN
6	0.99928683	0.99990898	0.99895740	0.99943334	0.99968046	0.99733472	0.99966639	0.99868500	0.99851477	0.99938589	0.99912274	0.99819249	0.99981833	NaN	0.99967295	0.99882692	0.99936908	0.99942076	NaN	NaN	0.99836886	NaN	0.99924791	0.99952567	0.99943066	0.99894851	0.99851876	0.99942732	0.99897099	0.99996668	NaN	0.99930739	0.99948388	0.99877077	0.99944192	0.99850547	0.99930733	0.99861699	0.99893081	0.99879038	NaN
7	1.00000000	0.99990124	0.99985713	0.99945962	1.00000000	0.99966639	0.99791700	0.99902928	1.00000000	0.99960339	0.99992639	0.99879622	1.00000000	NaN	0.99985540	0.99991673	0.99993449	1.00000000	NaN	NaN	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	0.99971133	1.00000000	0.99943769	0.99953651	NaN	0.99960977	1.00000000	1.00000000	0.99902928	0.99912292	1.00000000	0.99944639	0.99972302	1.00000000	NaN
8	0.99933237	0.99975157	0.99981242	0.99947834	0.99957114	0.99868500	0.99902928	0.99896550	0.99800140	0.99925327	0.99878848	0.99960399	0.99982482	NaN	0.99920332	0.99815118	0.99936360	0.99979526	NaN	NaN	0.99833751	NaN	0.99862629	0.99951893	0.99949110	0.99684042	0.99928683	0.99875247	0.99969184	0.99961406	NaN	0.99923974	0.99916816	0.99317145	0.99990147	0.99987221	0.99922067	0.99994498	0.99844843	0.99873435	NaN
9	0.99966353	0.99953252	0.99844021	0.99839926	0.99933773	0.99851477	1.00000000	0.99800140	0.99418259	0.99829328	0.99989474	0.99755514	1.00000000	NaN	0.99926978	0.99984562	0.99954534	1.00000000	NaN	NaN	1.00000000	NaN	1.00000000	0.99958634	0.99916446	0.99991810	0.99852479	1.00000000	0.99799973	0.99843818	NaN	0.99822837	0.99990666	0.99937016	0.99873579	0.99655980	1.00000000	0.99641430	0.99921173	1.00000000	NaN
10	0.99931383	1.00000000	0.99993438	0.99951696	0.99979836	0.99938589	0.99960339	0.99925327	0.99829328	0.99723232	0.99914980	0.99924678	0.99982220	NaN	0.99970961	0.99834579	0.99893618	0.99940389	NaN	NaN	0.99837172	NaN	0.99938232	0.99952000	0.99956989	0.99767601	0.99971074	0.99874097	0.99951118	0.99984533	NaN	0.99992806	0.99918115	0.99286264	0.99896735	0.99893999	0.99929857	0.99883777	0.99870420	0.99868327	NaN
